start_date,end_date,reported_date,country,indicator,adj_value_gdp,unadj_value_mil,frequency,currency,author
4/1/2016,6/30/2016,null,USA,GDP,18637.253,4678299,quarterly,USD,kshah5@scu.edu
7/1/2016,9/30/2016,null,USA,GDP,18806.743,4734573,quarterly,USD,kshah5@scu.edu
10/1/2016,12/31/2016,null,USA,GDP,18991.883,4813405,quarterly,USD,kshah5@scu.edu
1/1/2017,3/31/2017,null,USA,GDP,19190.431,4649728,quarterly,USD,kshah5@scu.edu
4/1/2017,6/30/2017,null,USA,GDP,19356.649,4863682,quarterly,USD,kshah5@scu.edu
7/1/2017,9/30/2017,null,USA,GDP,19611.704,4940866,quarterly,USD,kshah5@scu.edu
10/1/2017,12/31/2017,null,USA,GDP,19918.91,5065149,quarterly,USD,kshah5@scu.edu
1/1/2018,3/31/2018,null,USA,GDP,20163.159,4917129,quarterly,USD,kshah5@scu.edu
4/1/2018,6/30/2018,null,USA,GDP,20510.177,5141726,quarterly,USD,kshah5@scu.edu
7/1/2018,9/30/2018,null,USA,GDP,20749.752,5209973,quarterly,USD,kshah5@scu.edu
10/1/2018,12/31/2018,null,USA,GDP,20897.804,5311394,quarterly,USD,kshah5@scu.edu
1/1/2019,3/31/2019,null,USA,GDP,21098.827,5148400,quarterly,USD,kshah5@scu.edu
4/1/2019,6/30/2019,null,USA,GDP,21340.267,5360917,quarterly,USD,kshah5@scu.edu
7/1/2019,9/30/2019,null,USA,GDP,21542.54,5404652,quarterly,USD,kshah5@scu.edu
10/1/2019,12/31/2019,null,USA,GDP,21729.124,5517583,quarterly,USD,kshah5@scu.edu
1/1/2020,3/31/2020,null,USA,GDP,21537.94,5261548,quarterly,USD,kshah5@scu.edu
